,text,score,magnitude
0,,0.0%,0.0%
0,"smelled scent hand sanitizers someone past would think intoxicated that…
",-70.0%,70.0%
0,"yankeespr mlb wouldnt made sense players pay respects a…
",-70.0%,70.0%
0,"wdunlap realdonaldtrump trump never claimed hoax claim effort to…
",-60.0%,60.0%
0,"brookbanktv one gift give appreciation simple things always around me…
",80.0%,80.0%
0," july media bulletin novel coronavirusupdates  drsyedsehrish airnewsalerts ani…
",20.0%,20.0%
0,"deaths continue rise almost bad ever politicians businesses want…
",-80.0%,80.0%
0,"change work general recruiting specifically via proactivetalent recruiting…
",0.0%,0.0%
0,"wear face coverings shopping includes visit local community pharmacy…
",0.0%,0.0%
0,"praying good health recovery chouhanshivraj covidpositive
",20.0%,20.0%
0,"pope god prophet sadhu sundar selvaraj watch hurricanehanna …
",-20.0%,20.0%
0," cases still response  hrdministry drrpnishankplease cancel compartment exa…
",-40.0%,40.0%
0,"order logo graphicdesigner logodesign logodesinger icon minimalist abstract…
",10.0%,10.0%
0,"pattyhajdu navdeepsbains — one safe everyone safe commit ensure…
",80.0%,80.0%
0,"lets protect real numbers climbing fast continent lets n…
",80.0%,80.0%
0,"rajasthan government started plasma bank sawai man singh hospital jaipur treatment pa…
",-40.0%,40.0%
0,"nagaland police awareness city tower junction dimapur keepsocialdistance…
",30.0%,30.0%
0,"july  update tamilnadu  discharge  people tested  actice cases  chennai 
",-20.0%,20.0%
0,"second wave flandersback homework
",-10.0%,10.0%
0,"darkest moments must focus see lightaristotle
",-20.0%,20.0%
0,"update infection rate florida following natural curve experts predicted initial cu…
",-30.0%,30.0%
0,"evanakilgore realdonaldtrump good patriots call volunteer election judge polls cannot open without…
",0.0%,0.0%
0,"south africa update south africa  july  nicdsa moetitshidi whoafro…
",-30.0%,30.0%
0,"jimbnntt image doesnt list source id careful overall risk dying statistics related to…
",-60.0%,60.0%
0,"first comprehensive review wash analysis key ways wash help reduce transmission…
",30.0%,30.0%
0,"holy water times
",10.0%,10.0%
0,"kolar need blood type bpositive jalappa hospital blood component need plasma bve recove…
",-30.0%,30.0%
0,"munitions response team bosniaandherzegovina modified ops adopted masks disinfectants sanitizers…
",20.0%,20.0%
0,"imagine people profiting human suffering studying maps make …
",-70.0%,70.0%
0,"tncoronaupdate tn crosses  lakh mark  ppp recovered far positive …
",70.0%,70.0%
0,"ratasjuri tax reform taxfree minimum company five hundred thousand euros per year taxfree minimum…
",-60.0%,60.0%
0,"fema acknowledges puertorico lacks rebuilt homes hospital survive
",-60.0%,60.0%
0,"actor vishalkofficial father mrgkreddy tested positive  days back vishal s…
",0.0%,0.0%
0,"update total cases recoveries deaths reported countries africa see total numb…
",-50.0%,50.0%
0,"unionwill megawedgy jjhorgan “regarding community outbreak haida gwaii  cases one recover…
",0.0%,0.0%
0,"safe place visit guests said hotel meticulous applying hand sanitation als…
",50.0%,50.0%
0,"ceo ramneekhh live sascojikelele wsu talking “the effects students”…
",-20.0%,20.0%
0,"  im feeling little anxious seems detracted everyones…
",10.0%,10.0%
0,"actionables healthy recovery climate
",60.0%,60.0%
0," bbclaurak well borisjohnson might understood hadnt missed  meeting five in…
",30.0%,30.0%
0,"released two new podcast episodes week technology platforms used conduct telehealth visits c…
",-20.0%,20.0%
0,"playyourpart fight one us make difference containing spread lets…
",20.0%,20.0%
0,"britain didnt understand months plenty countries understand took effective…
",-60.0%,60.0%
0,"volume back please 
",-50.0%,50.0%
0,"delhi reports  positive cases  deaths saturday death toll rises  reports ani quot…
",10.0%,10.0%
0,"realdonaldtrump venezuelas economybudget tied oil louisianas funny rightwing example of…
",0.0%,0.0%
0,"tamilnadu  july  tn  highest spike  total cases   chennai …
",-10.0%,10.0%
0,"ruto eulogisied mkapa asking moses kuria raila rutoswindlinggema
",0.0%,0.0%
0,"testing fiasco st mirren pledged undertake urgent review testing proced…
",-50.0%,50.0%
0,"testing fiasco st mirren pledged undertake urgent review testing proced…
",-50.0%,50.0%
0,"tamilnadu  july  tn  highest spike  total cases   chennai   t…
",-10.0%,10.0%
0,"testing fiasco st mirren pledged undertake urgent review testing proced…
",-50.0%,50.0%
0,"testing fiasco st mirren pledged undertake urgent review testing proced…
",-50.0%,50.0%
0,"testing fiasco st mirren pledged undertake urgent review testing proced…
",-50.0%,50.0%
0,"testing per  lakh population jammu kashmir reached   country recovery r…
",0.0%,0.0%
0,"testing fiasco st mirren pledged undertake urgent review testing proced…
",-50.0%,50.0%
0,"testing fiasco st mirren pledged undertake urgent review testing proced…
",-50.0%,50.0%
0,"nytimes reporting yesterday  people died usa  new cases reported serio…
",-60.0%,60.0%
0,"crazy world come americans fight get this
",60.0%,60.0%
0,"jimsciutto  people whose relatives died file class action lawsuit sinclair broadcasting
",-50.0%,50.0%
0,"us  cases  deaths reported united states date  new cases …
",-30.0%,30.0%
0,"indiafightscorona  agree mask one powerful accessories fight t…
",30.0%,30.0%
0,"miss isopropyl alcohol much ethanol hand sanitizer smells poured tequila hands 🤢
",-70.0%,70.0%
0,"gvmc sanitation staff carrying regular sanitation activities keep city clean prevent spread…
",-10.0%,10.0%
0,"sonusood sir mom icu due want prayers everyone listening
",40.0%,40.0%
0,"due aka ill sending first  people retweet   cas…
",-40.0%,40.0%
0,"video stitches obesity زواجراكانالحربي carryminati …
",-30.0%,30.0%
0,"see instagram post   deaths rates rising lockste…
",-40.0%,40.0%
0,"local government sales tax revenue dropped  percent yeartoyear second quarter thanks shutdo…
",0.0%,0.0%
0,"look lil’ donny micro dick go astounding achievement brilliance cognitive capabilities somebody…
",60.0%,60.0%
0,"please follow fergusons durbanjuly alreadyvideo wiseup
",0.0%,0.0%
0,"concealed nation  million giveaway put familys safety others criminals…
",-80.0%,80.0%
0,"check angels beautiful mask hair bow designs etsy epiconetsy masksforsale…
",40.0%,40.0%
0,"thread drzoehyde based international research evidence  updated thread children sum…
",0.0%,0.0%
0," municipality reports one new fatality due compared yesterday  new fatality located  fa…
",-20.0%,20.0%
0,"home walls need upgradation always opt experts hire mumbaipainters let walls find…
",10.0%,10.0%
0,"shrink power sector growth take discoms back preuday era industry…
",-30.0%,30.0%
0,"saturdayvibes current situation calls awareness less stress facilitate families our…
",50.0%,50.0%
0,"economic measures governments taking respond key actions taken  countries listed…
",0.0%,0.0%
0,"“ everyone’s fight covered major disasters nothing fabehamonir vi…
",-70.0%,70.0%
0,"haggisuk “i think government hugely overestimated danger disease” wonder he’d brave en…
",-10.0%,10.0%
0,"time see spike cases isvery hard reverse without drastic lockdown time y…
",-50.0%,50.0%
0,"realdonaldtrump whitehouse see political games achieved shameful…
",-80.0%,80.0%
0,"hi long time see preparation us reopening homework clean…
",10.0%,10.0%
0,"thejagmeetsingh matthewgreenndp took money beginning pandemic woman front line workers who…
",-60.0%,60.0%
0,"ireland built contract tracing app successful states want use it…
",0.0%,0.0%
0,"rakesh sharma best business coach india website salescoach businesscoach salesforce…
",70.0%,70.0%
0,"think link  stuff loony conspiracytheories think screenshot is…
",-30.0%,30.0%
0,"nstworld nationaldayrally ndr year due safe distancing requirements result o…
",0.0%,0.0%
0,"cost preventing pandemics next decade protecting wildlife forests would equate ju…
",-40.0%,40.0%
0,"learn new things period   animations training ongoing click link join what…
",-10.0%,10.0%
0," women lawyers write amitshah seeking  lakh loan per financially drained lawyer
",-70.0%,70.0%
0,"literally using head make decisions safety government creating conf…
",-60.0%,60.0%
0,"ok im angry cannot believe stupidity virus kills many must…
",-60.0%,60.0%
0,"durbanjuly weekend yall pity year facing cant go person…
",-60.0%,60.0%
0,"lets give try alreadyvideo hurricanehanna
",0.0%,0.0%
0,"shout earth hands worst reaction “emergency” i’ve ever seen lottery never shut and…
",-70.0%,70.0%
0,"tamilnadu  july  tn  highest spike  total cases   chennai …
",-10.0%,10.0%
0,"   myrdc  please tell us run qanon conspiracy theory banned…
",-70.0%,70.0%
0,"playyourpart fight we’re inthistogether cavan ladies footballer aishli…
",0.0%,0.0%
0,"egyptians aint got shit
",-90.0%,90.0%
0,"voices belt road rap song alerts needed precautions returning work beltandroad…
",-40.0%,40.0%
0,"pr vishalkofficial father mrgkreddy tested positive  days back vishal s…
",-10.0%,10.0%
0,"area hit hanna hotspot hurricane harvey work ongoing still
",0.0%,0.0%
0," us population infected trumpvirus maskitorcasket
",-10.0%,10.0%
0,"latest foxnews keeps wish children waiting waltdisneyworld reopens gktwvillage unable b…
",-70.0%,70.0%
0,"profwombat vickihickory rohsolovely realdonaldtrump imagine thinking toddlerinchief didnt ignore ja…
",-40.0%,40.0%
0,"headout dashboard boost  travel
",60.0%,60.0%
0,"disproportionately affecting communities color especially hispanic latinx ones ho…
",-70.0%,70.0%
0,"debates ensue reopening schools  amid womendeliver young leader  nigeria says…
",-20.0%,20.0%
0,"companies must protect workforce’s physical mental health crisis use smart technology…
",-50.0%,50.0%
0,"todays cases  total cases  todays sample  todays cured  total cured  todays death  total…
",50.0%,50.0%
0,"drkawana minister fisheries marine resources what’s hold please release announce names of…
",0.0%,0.0%
0,"highest ever number new cases yesterday stayathome
",10.0%,10.0%
0," outercircles redmajid  brumleader  cllrmajid akasusangreen…
",30.0%,30.0%
0,"toadmeister yes evidence increased plus early guidance due global ppe shortage priority to…
",0.0%,0.0%
0,"bubbaprog  school employees exposed manatee county schools summer
",-10.0%,10.0%
0,"benjamesphotos italy benpc lockdownphotochallenge
",30.0%,30.0%
0,"cum check ill dm nudes onlyfansbabe ihaveajoke onlyfansgirl alreadyvideo…
",-10.0%,10.0%
0,"cm madhya pradesh tested positive scindia also tested
",20.0%,20.0%
0,"four mayors reflect evolving response pandemic  click lin…
",0.0%,0.0%
0,"bihar witnesses biggest singleday spike  new cases
",20.0%,20.0%
0,"lunch amsterdam away mass tourists invaded quickly pandemic travel
",-40.0%,40.0%
0,"weve captured snapshot amazing vcse response pandemic salford want thank…
",80.0%,80.0%
0," nonprofits eventually close doors good result current economic crisis acco…
",-20.0%,20.0%
0,"punjab govt warns people click url circulated via smswhatsapp claiming relief package rs…
",-40.0%,40.0%
0,"worst type spread  covidiots
",-80.0%,80.0%
0,"wells fargo tightens purse strings ride pandemic read cdc…
",0.0%,0.0%
0,"really informative interesting 🧵 lots think especially school age kids…
",90.0%,90.0%
0,"travellerboxers agreed  mean exactly problem travellers  needs educatin…
",-30.0%,30.0%
0,"veteran affairs reports  new cases  new deaths bringing total confirmed cases   to…
",0.0%,0.0%
0,"irish home commercial building model perfect breathing groung virus trade treat…
",90.0%,90.0%
0,"thinkpiece gender climate change context parimitaenergy…
",0.0%,0.0%
0,"leicestershire residents – develop symptoms even mild ones book test immediately at…
",-40.0%,40.0%
0,"i’m emotionally exhausted find way coming soon ‼ royalehightrades alreadyvideo mtvhotttest…
",10.0%,10.0%
0,"actor vishalkofficial father mr gk reddy tested positive couple weeks ago vishals f…
",-60.0%,60.0%
0,"imaginegoing back sitting average nearly  days year car standstill traffic lo…
",-40.0%,40.0%
0,"global fatalities chart last    bolsonaro  trump  modi
",0.0%,0.0%
0,"dont drown falling river staying submerged facts saturdaymotivation truth…
",-70.0%,70.0%
0,"uttarpradesh cm myogiadityanath directs officials enhance testing capacity one lakh te…
",10.0%,10.0%
0,"sounds plandemic get second life here’s thread it’s first run debunks major cl…
",-60.0%,60.0%
0," nvgop marquezjesso andylukechoi flocchiniamanda lacubanamisfit know better trump…
",-30.0%,30.0%
0,"someone affected social anxiety wearing face mask amazing feel slightly hidden fro…
",60.0%,60.0%
0,"badbitchinaz i’d pay republicans leave america  voteforbiden votebluetoendthisnightmare…
",-50.0%,50.0%
0,"vietnam’s high level preparedness prevent spread deputy pm vietnam ncov…
",40.0%,40.0%
0,"kgeorgieva lenin youre totally wrong ecuador latin american country causable mortality wit…
",-80.0%,80.0%
0,"cbcthehouse pattyhajdu cochranecbc fatigue people front lines cannot replace fatigue…
",-70.0%,70.0%
0,"provided north devon tourist attraction digital twowayradio solution even struck w…
",40.0%,40.0%
0,"mask print  londoners wear masks maskup mask masks maskmoaners …
",-20.0%,20.0%
0,"republicansforbidennow republican group uses trumps words searing swingstate ad…
",-30.0%,30.0%
0,"skynews course absolutely nothing diabolical government almost triple…
",-80.0%,80.0%
0,"opportunity discuss legacy mistrust black communities towards medical community a…
",40.0%,40.0%
0,"everyone spread another study accurate
",80.0%,80.0%
0,"learning fun interesting surprisingly quite easy let’s join wlf nigeria ambassadors promote learning a…
",90.0%,90.0%
0,"todays day thebigspend buy local support rebuilding process shop local small busi…
",-40.0%,40.0%
0,"realdonaldtrump mean actually job almost  years dodging don’t get thanked do…
",-60.0%,60.0%
0,"traveltuesday excellent data charts map cv progressing societies also…
",80.0%,80.0%
0,"houseofbobber smithwinstona blackmanofkag  coincidence influenza cases unusually down…
",-10.0%,10.0%
0," new positive cases reported andhrapradesh last  apfightscorona stayhome
",30.0%,30.0%
0," two quick estimates arizona post apex recovery rate    avg peak confirmed cases…
",0.0%,0.0%
0,"ar state sen jason rapert preached maskfree church im sorryis…
",10.0%,10.0%
0,"trump hates looking loser — right looks one biggest losers us history oped…
",-80.0%,80.0%
